calendarId,games,result
1,"Geração Paramos-Lobão",25-1
2,"Fiães - Geração Paramos",5-6
3,"Geração Paramos - Anta",1-4
4,"Paços - Brandão - Geração Paramos",4-3
5,"Geração Paramos - Marfoot ",0-4
6,"Geração Paramos - Lourosa ",1-5
7,"Espinho - Geração Paramos",2-3
8,"Lobão - Geração Paramos","Por decorrer"
9,"Geração Paramos - Fiães","Por decorrer"
10,"Anta - Geração Paramos","Por decorrer"
11,"Geração Paramos - Paços Brandão","Por decorrer"
12,"Marfoot - Geração Paramos","Por decorrer"
13,"Lourosa - Geração Paramos","Por decorrer"
14,"Geração Paramos - Espinho","Por decorrer"
